Field,Value
visaId,al-tourist-30d
passportName,Albania
passportDemonym,Albanian
selectedVisaOption,"{'id': 'al-tourist-30d', 'name': '30 day Indian Tourist eVisa', 'visa_type': 'tourist', 'duration': '30d', 'price': 159.25, 'govt_fee': 10, 'our_fee': 149, 'processing_fee': 0.25, 'entries': 'Double', 'stay_duration': '30 days', 'validity': '120 days', 'purpose': 'Tourism', 'approved_by': 'April 13', 'approval_days': 5, 'discount_amount': 50}"
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,Ahmedabad Airport
expectedArrivalDate,2026-07-30
visaService,30 day Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,PPTEST
dateOfIssue,2025-11-11
dateOfExpiry,2035-11-11
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
expiresAt,2026-04-15T20:52:51.505000
applicationId,APP202604082050106053AF
educationalQualification,
givenNames,DUPlicate
livedTwoYears,Yes
qualificationFrom,h
religion,Hindu
surname,TEST
visibleMarks,None
country,
houseNoStreet,Trion Business Park
phoneCountryCode,+1
phoneNumber,1
postalCode,411014
stateProvince,Maharashtra
villageTownCity,Pune
fatherCountryOfBirth,
fatherName,sdgf
fatherNationality,
fatherPlaceOfBirth,1
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,b
motherNationality,
motherPlaceOfBirth,1
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,1
employerName,1
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,Private service
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,1
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,1
homeReferenceName,1
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,1
indiaReferenceAddress,1
indiaReferenceName,1
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,1
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
