Field,Value
visaId,al-tourist-1yr
passportName,Albania
passportDemonym,Albanian
selectedVisaOption,"{'id': 'al-tourist-1yr', 'name': '1 year Indian Tourist eVisa', 'visa_type': 'tourist', 'duration': '1yr', 'price': 240, 'govt_fee': 40, 'our_fee': 199, 'processing_fee': 1, 'entries': 'Multiple', 'stay_duration': '90 days per visit', 'validity': '1 year', 'purpose': 'Tourism', 'approved_by': 'April 13', 'approval_days': 5, 'discount_amount': 50}"
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,Amritsar Airport
expectedArrivalDate,2026-06-02
visaService,1 year Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,PN123456789
dateOfIssue,2026-01-08
dateOfExpiry,2026-07-29
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
expiresAt,2026-04-15T20:58:31.197000
applicationId,APP202604082058115555F0
educationalQualification,
givenNames,re
livedTwoYears,Yes
qualificationFrom,re
religion,
surname,re
visibleMarks,None
country,
houseNoStreet,1 JAGANNATHPUR
phoneCountryCode,+1
phoneNumber,1
postalCode,722151
stateProvince,West Bengal
villageTownCity,Bankura
fatherCountryOfBirth,
fatherName,sdgf
fatherNationality,
fatherPlaceOfBirth,1
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,1
motherNationality,
motherPlaceOfBirth,1
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,1
employerName,1
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,Private service
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,1
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,1
homeReferenceName,1
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,1
indiaReferenceAddress,1
indiaReferenceName,1
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,1
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
